File below(listA) below(listI) below(treeA) below(treeI) below(regexA) below(regexI) below(treeOA) below(treeOI) below(regexOA) below(regexOI) above(listA) above(listI) above(treeA) above(treeI) above(regexA) above(regexI) above(treeOA) above(treeOI) above(regexOA) above(regexOI)
set_2_sites_30_iterations_100_result.csv 0 0 0 0 0 0 0 0 0 0 100 100 100 100 100 100 100 100 100 100
set_2_sites_30_iterations_1000_result.csv 0 0 0 995 0 0 0 0 0 0 1000 1000 1000 0 1000 1000 1000 1000 1000 1000
set_2_sites_100_iterations_10_result.csv 0 0 0 0 0 0 0 0 0 0 10 10 10 10 10 10 10 10 10 10
set_2_sites_100_iterations_100_result.csv 0 0 0 0 0 0 0 0 0 0 100 100 100 100 100 100 100 100 100 100
set_2_sites_100_iterations_1000_result.csv 0 0 0 0 0 0 0 0 0 0 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000
set_3_sites_1_iterations_10_result.csv 9 9 9 9 9 9 0 0 9 9 1 1 0 0 1 1 3 3 1 1
set_3_sites_1_iterations_100_result.csv 25 25 85 85 0 0 85 0 0 0 75 75 15 1 100 100 15 15 100 100
set_3_sites_1_iterations_1000_result.csv 247 247 0 0 0 0 0 0 0 0 753 753 159 159 1000 1000 145 145 1000 1000
set_3_sites_2_iterations_10_result.csv 0 0 0 0 0 0 0 0 0 0 10 10 10 4 10 10 10 4 10 10
set_3_sites_2_iterations_100_result.csv 100 100 100 99 100 100 100 0 100 100 0 0 0 1 0 0 0 30 0 0
set_3_sites_2_iterations_1000_result.csv 1000 1000 999 252 999 996 1000 269 1000 998 0 0 1 1 1 4 0 0 0 2
set_3_sites_3_iterations_10_result.csv 10 9 8 0 9 2 8 0 9 0 0 0 2 2 1 3 2 2 1 10
set_3_sites_3_iterations_100_result.csv 100 99 97 0 0 0 95 0 87 0 0 0 3 3 100 100 5 5 13 100
set_3_sites_3_iterations_1000_result.csv 1000 1000 1000 955 1000 1000 1000 967 1000 1000 0 0 0 1 0 0 0 1 0 0
set_3_sites_5_iterations_10_result.csv 10 10 10 9 10 10 10 9 10 10 0 0 0 1 0 0 0 0 0 0
set_3_sites_5_iterations_100_result.csv 100 100 100 98 100 100 100 0 100 100 0 0 0 1 0 0 0 1 0 0
set_3_sites_5_iterations_1000_result.csv 1000 1000 1000 999 1000 999 1000 0 1000 1000 0 0 0 1 0 1 0 1 0 0
